Product Name,Company Name,Product Type,Category,Cleaned Price
2CZ-4c Agricultural Equipment Multifunction Sugarcane Seed Planter Machine Sugar Cane Seeder,"ACME AGRO HUBEI CO.,LTD.",seed planter,Agricultural Equipment,6800.0
Adjustable Seed Planter with White Radish for Agricultural Equipment,"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,15000.0
Double Ridge Four-Row Potato Planter Tractor-Mulching Machine for Potato Seeds Agricultural Machinery &,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
Double Ridge Four-Row Potato Planter Tractor-Mulching Machine for Potato Seeds Other Machinery &,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
Manufacturer Potato Planter Agricultural Equipment Seeder Potato Planter for Walking Tractor Seed,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
Agricultural Equipment Supply by Factory 4 Row Working Powerful & Stable Potato Seed Planter,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
Adjustable Vegetable Seed Planter with Beet for Agricultural Equipment,"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,15000.0
Precision Vegetable Seed Planter for Agricultural Equipment,"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,15000.0
Tractor-Mulching Machine Potato Seeds Planter Agricultural Machinery and Equipment for Potatoes,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
Agricultural Tractor Manual Sale of 1 2 3 4 5 6 7 Rows Corn Seed Stick Wholesale Maize Planter and Seeder Machine in Peru for Tractor,"Shandong Ling ke Industry Group Co., Ltd",seed planter,Agricultural Equipment,199.0
Farm Equipments Corn Planter Corn Seed Planter,"YUCHENG HONGRI MACHINERY MANUFACTURE CO., LTD.",seed planter,Agricultural Equipment,300.0
High Quality Agricultural Equipment Double Ridge Planter for Potato 4 Row Seeding Machine,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
Farm Equipment 4 Row 5 Rows Corn Seed Planer Corn Planting Machine Corn Seed Planter for Tractors,"Yucheng Hengshing Machinery Co., Ltd.",seed planter,Agricultural Equipment,690.0
Hot Sale 2 Row Potato Farming Equipment Tractor Potato Planter Machine Pto Tractor Garlic Planter,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
Planting Machine Agricultural Seeds Two Row Potato Seed Planter Machine for Sale,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
New Design Two Rows Agricultural Equipment Planting Machine Potato Planter with Fertilizer Applicator,"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,2400.0
